filename,form,corp_lem,lem_pos,pos,gram,cont-2,cont-2_gr,cont-1,cont-1_gr,cont+1,cont+1_gr,cont+2,cont+2_gr,class
20_clean/xx_blok_blok2-0017.xhtml.txt,алесE,алей,S,SV,виндеепредимнепросEрод,S,едпр,V,изсEсEвмнпросE,ADVPROPART,,V,едженизсEсEвпросE,1
20_clean/xx_adamovic_adam-030.xhtml.txt,сEсEойкосE,сEсEойкий,A,AS,едженполнсEвор,S,винедим,PR,,V,едизсEсEвнепросE,AADV,едкрсEред,1
20_clean/xx_bunin_bunin-667.xhtml.txt,всEеленной,всEеленнасE,S,SV,дасEедженполнпрприсEпросEродсEсEрадсEвор,V,едизсEсEвнепросE,PR,,ADVPROCONJPART,,S,винедим,0
20_clean/xx_rozhdestvensky_vrozh-340.xhtml.txt,подсEемнсEсE,подсEемнсEе,S,AS,винмнодполнпррод,V,деепрнепросEпе,S,вин,AS,едкрмнмсEжрод,S,мнрод,0
20_clean/xx_kuzmin_kzmn-487.xhtml.txt,гсEсEе,гсEсEа,S,AS,дасEедпрсEрав,V,едизсEсEвнепросE,CONJSPRO,прсEвор,S,виниммн,AADV,сEрав,1
20_clean/xx_antokolsky_antkl-181.xhtml.txt,дивсEм,дивсEй?,,AS,дасEедмнмсEжполнсEредсEвор,V,едизсEсEвнепросE,S,едсEвор,A,дасEедмнмсEжполнсEредсEвор,CONJINTJPARTS,виндасEедиммнпрродсEвор,0
20_clean/xx_steinberg_stein-115.xhtml.txt,сEсEансE,сEсEан,S,SV,дасEедизсEсEвнепросE,S,винедрод,SSPRO,виндасEедиммнпрродсEвор,V,инсE,ADV,,1
20_clean/xx_majakovsky_majak8-081.xhtml.txt,сEсEисE,сEсEисE,S,SV,винедизсEсEвиммсEжпросE,V,едпов,APROV,винедиммсEжнеодпов,V,едпов,ADVPROCONJPART,,0
20_clean/xx_briusov_brius-058.xhtml.txt,басEсEейна,басEсEейн,S,AS,едженкррод,ADVPROPART,,INTJPRS,виндасEедиммнпрродсEвор,PRS,виндасEедиммнпрродсEвор,S,дасEедпр,0
20_clean/xx_blok_blok2-0547.xhtml.txt,насEал,насEало,S,SV,едизсEсEвмнмсEжпросEрод,ADVPROPART,,AADV,едкрсEред,V,инсE,V,едизсEсEвмсEжнесEовпросE,1
20_clean/xx_ellis_ellis-020.xhtml.txt,сEсEсEали,сEсEсEалсE,S,SV,виндасEедизсEсEвиммнпрпросEрод,CONJPARTS,виндасEедиммнпрродсEвор,SPRO,им,S,едим,CONJINTJPARTS,виндасEедиммнпрродсEвор,1
20_clean/xx_schepkina-kupernik_kuper-149.xhtml.txt,помосEсE,помосEсE,V,SV,винедиминсE,SPRO,дасEпр,V,изсEсEвмннепросEпов,V,инсE,APROS,винеджен,0
20_clean/xx_cvetaeva_cvet1-797.xhtml.txt,малсEсEисEасE,малсEсEисEасEсE?,,SV,виндасEдеепредиммннепросEпрродсEвор,V,едизсEсEвнепросE,S,винедим,APROV,деепредженимнепросE,ADVPRO,,0
20_clean/xx_bely_bely-004.xhtml.txt,десEи,ребенок,S,SV,иминсEисEкажмн,S,винедим,S,винмнрод,S,винедиммнрод,ADV,,0
20_clean/xx_gippius_gip-233.xhtml.txt,зеленей,зеленсE,S,ASV,едмнповродсEрав,PARTPR,,S,едпр,S,винедиммнрод,AS,едженимполн,1
20_clean/xx_pereval_perev-126.xhtml.txt,нисEасE,нисEий,A,ASV,деепредженимнепросEполн,CONJINTJPARTS,виндасEедиммнпрродсEвор,S,едим,V,едизсEсEвнепросE,PRS,виндасEедиммнпрродсEвор,0
20_clean/xx_axmatova_axmat-173.xhtml.txt,реже,редко,ADV,AADVS,едпрсEрав,V,инсE,CONJINTJPARTS,виндасEедиммнпрродсEвор,CONJPART,,AADV,едкрсEред,0
20_clean/xx_cvetaeva_cvet1-516.xhtml.txt,песEров,песEров,A,AS,винедиммнмсEжнеодрод,V,едизсEсEвнепросE,S,винед,S,едим,V,едизсEсEвнепросE,0
20_clean/xx_schepkina-kupernik_kuper-066.xhtml.txt,иксEелсEсEкисE,иксEелсEсEкий?,,AS,виндасEедиммнодполнпрродсEвор,S,иммн,AS,винмнодполнпррод,S,мнрод,AADV,едкрсEред,0
20_clean/xx_bely_bely-255.xhtml.txt,закрой,закрой,S,SV,винедимпов,S,винедим,A,виндасEеджениммсEжнеодполнпрродсEвор,AV,едкрмсEжприсEпросEсEсEрад,S,винедим,1
